Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
10/17/2016 12:00,162018610,10/14/2016 12:00,1440,20,Olympic,2031,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,4043    INGRAHAM                     ST,,"(34.0608, -118.3144)"
7/13/2016 12:00,160316911,7/13/2016 12:00,1430,3,Southwest,396,350,"THEFT, PERSON",IC,Invest Cont,W  42ND                         ST,S  VERMONT                      AV,"(34.0073, -118.2915)"
11/9/2016 12:00,162119067,11/9/2016 12:00,2300,21,Topanga,2107,220,ATTEMPTED ROBBERY,JA,Juv Arrest,21340    PARTHENIA                    ST,,"(34.2282, -118.5951)"
8/30/2016 12:00,162015897,8/30/2016 12:00,100,20,Olympic,2029,510,VEHICLE - STOLEN,IC,Invest Cont,401 S  HOOVER                       ST,,"(34.0667, -118.2843)"
4/28/2016 12:00,161608872,4/28/2016 12:00,1925,16,Foothill,1684,901,VIOLATION OF RESTRAINING ORDER,AO,Adult Other,11931    STRATHERN                    ST,,"(34.2158, -118.3921)"
4/21/2016 12:00,161809728,4/21/2016 12:00,1000,18,Southeast,1837,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),IC,Invest Cont,10357    HOLMES                       AV,,"(33.9428, -118.2412)"
9/22/2016 12:00,161223915,9/22/2016 12:00,2220,12,77th Street,1239,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,433 W  62ND                         ST,,"(33.9833, -118.2811)"
10/31/2016 12:00,160126354,10/29/2016 12:00,1900,1,Central,128,480,BIKE - STOLEN,IC,Invest Cont,347 E  2ND                          ST,,"(34.0493, -118.2418)"
7/19/2016 12:00,160317268,2/15/2016 12:00,400,3,Southwest,355,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,1830 W  JEFFERSON                    BL,,"(34.0256, -118.3089)"
5/8/2016 12:00,160509923,4/24/2016 12:00,1500,5,Harbor,585,956,"LETTERS, LEWD",IC,Invest Cont,560 W  20TH                         ST,,"(33.7261, -118.288)"
