SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-433656651,1/25/2017 5:51:09 AM,1/30/2017 2:58:11 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",Y,EV,1/30/2017 12:00:00 AM,,Y,N,"10037 W TUJUNGA CANYON BLVD, 91042",10037,W,TUJUNGA CANYON,BLVD,91042,34.2496754541,-118.282464192,"(34.2496754541, -118.282464192)",504,B,4,North Valley APC,7,Vacant,10,SUNLAND-TUJUNGA NC,FOOTHILL
1-422416071,1/12/2017 7:08:39 PM,1/19/2017 12:20:25 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,NC,1/19/2017 12:00:00 AM,,Y,N,"5100 W LEMON GROVE AVE, 90029",5100,W,LEMON GROVE,AVE,90029,34.0861254661,-118.307854163,"(34.0861254661, -118.307854163)",593,H,6,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-421066031,1/11/2017 2:48:06 PM,1/13/2017 1:16:59 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,1/13/2017 12:00:00 AM,,Y,N,"9895 WOODALE AV, 91331",9895,"",WOODALE,AV,91331,34.2504059229,-118.438530729,"(34.2504059229, -118.438530729)",502,B,5,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION
1-413356231,1/4/2017 9:13:52 AM,1/6/2017 3:12:27 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",Y,CCAC,1/6/2017 3:12:28 PM,,Y,N,"1111 W VENICE BLVD, 90015",1111,W,VENICE,BLVD,90015,34.0417732192,-118.279320166,"(34.0417732192, -118.279320166)",634,C,5,Central APC,1,Gilbert Cedillo,76,PICO UNION NC,RAMPART
1-446689925,2/6/2017 10:14:23 AM,2/6/2017 10:14:23 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,KYCC,12/27/2016 12:00:00 AM,,Y,"","2301 W WASHINGTON BLVD, 90018",2301,W,WASHINGTON,BLVD,90018,,,"",633,H,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC
1-413366431,1/4/2017 9:18:42 AM,1/7/2017 3:09:35 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,WV,1/7/2017 12:00:00 AM,,Y,N,"22722 W MARGARITA DR, 91364",22722,W,MARGARITA,DR,91364,34.1509348533,-118.62218634,"(34.1509348533, -118.62218634)",559,H,5,South Valley APC,3,Bob Blumenfield,16,WOODLAND HILLS-WARNER CENTER NC,TOPANGA
1-438366246,1/29/2017 8:03:07 PM,1/29/2017 8:03:09 PM,SR Created,OCB,Graffiti Removal,Open,Mobile App,iOS,Y,GAP,,,Y,"","AVENUE 37 AT FIGUEROA ST, 90065",,"","","",90065,34.090091616,-118.212594696,"(34.090091616, -118.212594696)",595,A,5,East Los Angeles APC,1,Gilbert Cedillo,42,ARROYO SECO NC,NORTHEAST
1-426265881,1/17/2017 2:58:06 PM,1/25/2017 5:13:05 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",N,EV,1/25/2017 12:00:00 AM,,Y,N,"14426 W GREENLEAF ST, 91423",14426,W,GREENLEAF,ST,91423,34.1477620048,-118.447601196,"(34.1477620048, -118.447601196)",562,A,5,South Valley APC,4,David Ryu,26,SHERMAN OAKS NC,VAN NUYS
1-440433596,1/31/2017 9:25:43 AM,1/31/2017 9:25:43 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/21/2017 12:00:00 AM,,Y,"","708 S CENTRE ST, 90731",708,S,CENTRE,ST,90731,,,"",824,C,5,Harbor APC,15,Joe Buscaino,95,CENTRAL SAN PEDRO NC,HARBOR
1-448139651,2/7/2017 11:42:51 AM,2/8/2017 9:34:06 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,2/8/2017 12:00:00 AM,,Y,N,"4455 N MOORPARK WAY, 91602",4455,N,MOORPARK,WAY,91602,34.1514245272,-118.358222246,"(34.1514245272, -118.358222246)",563,B,4,South Valley APC,4,David Ryu,28,GREATER TOLUCA LAKE NC,NORTH HOLLYWOOD
1-449283491,2/8/2017 10:45:24 AM,2/8/2017 10:45:24 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/21/2017 12:00:00 AM,,Y,"","4200 S WOODLAWN AVE, 90011",4200,S,WOODLAWN,AVE,90011,,,"",674,C,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-427305414,1/18/2017 12:57:46 PM,1/22/2017 9:59:52 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NEGB_ELA,1/22/2017 9:59:44 AM,,Y,N,"4448 E HUNTINGTON DR, 90032",4448,E,HUNTINGTON,DR,90032,34.0827002453,-118.189230511,"(34.0827002453, -118.189230511)",595,D,6,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK
1-453380209,2/13/2017 8:18:31 AM,2/14/2017 3:19:04 PM,SR Created,BOS,Metal/Household Appliances,Closed,Mobile App,iOS,N,SLA,2/14/2017 12:00:00 AM,,Y,"","3712 S 4TH AVE, 90018",3712,S,4TH,AVE,90018,34.0199334823,-118.321221647,"(34.0199334823, -118.321221647)",673,G,1,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST
1-427384719,1/18/2017 1:33:59 PM,1/18/2017 1:33:59 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/17/2017 12:00:00 AM,,Y,"","1532 W 60TH ST, 90047",1532,W,60TH,ST,90047,,,"",673,J,6,South Los Angeles APC,8,Marqueece Harris-Dawson,81,EMPOWERMENT CONGRESS CENTRAL AREA NDC,77TH STREET
1-450062271,2/8/2017 5:39:36 PM,2/10/2017 2:27:21 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,N,EV,2/10/2017 12:00:00 AM,,Y,"","12670 W PAXTON ST, 91331",12670,W,PAXTON,ST,91331,34.2858807366,-118.409074775,"(34.2858807366, -118.409074775)",482,E,7,North Valley APC,7,Vacant,7,PACOIMA NC,FOOTHILL
1-455075601,2/14/2017 10:25:18 AM,2/15/2017 7:43:25 AM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,SLA,2/15/2017 12:00:00 AM,,Y,N,"1447 E 22ND ST, 90011",1447,E,22ND,ST,90011,34.0196505469,-118.249347856,"(34.0196505469, -118.249347856)",674,F,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
